sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,skip_probability,regression_probability,total_occurrences,pred_class
5,16,michigan,Michigan),16,,8,5.840000000000001,0.7664128471123995,0.930326104807964,0.0,-2.5530000000000004,0.36363636363636365,0.09090909090909091,11,Class 1
5,17,owned,owned,17,,5,11.75,1.0700378666077552,0.9027238303083857,0.0,-2.5530000000000004,0.18181818181818182,0.0,11,Class 1
5,18,by,by,18,,2,1340.4699999999998,3.1272570988259853,0.7157039001067286,0.0,-2.5530000000000004,0.6363636363636364,0.09090909090909091,11,Class 1
5,19,his,his,19,,3,2124.7799999999997,3.3273139698064678,0.6975169118357755,0.0,-2.5530000000000004,0.5454545454545454,0.0,11,Class 1
5,20,parents,"parents,",20,,7,140.73,2.148386687666821,0.8046921193030164,0.0,-2.5530000000000004,0.36363636363636365,0.36363636363636365,11,Class 1
5,21,william,William,21,,7,32.40999999999999,1.5106790310322098,0.8626655426334355,0.0,-2.5530000000000004,0.36363636363636365,0.2727272727272727,11,Class 1
5,22,ford,Ford,22,,4,11.510000000000003,1.0610753236297918,0.9035386069427461,0.0,-2.5530000000000004,0.5454545454545454,0.18181818181818182,11,Class 1
5,23,18261905,(1826-1905),23,,8,1.0,0.0,1.0,0.0,-2.5530000000000004,0.36363636363636365,0.2727272727272727,11,Class 1
5,24,and,and,24,,3,13387.839999999998,4.126710513400981,0.624844498781729,0.0,-2.5530000000000004,0.6363636363636364,0.2727272727272727,11,Class 1
5,25,mary,Mary,25,,4,88.08000000000003,1.9448773059636948,0.8231929721851187,0.0,-2.5530000000000004,0.45454545454545453,0.2727272727272727,11,Class 1
5,26,litogot,Litogot,26,,7,1.0,0.0,1.0,0.0,-2.5530000000000004,0.2727272727272727,0.09090909090909091,11,Class 1
5,27,c18391876,"(c1839-1876),",27,,9,1.0,0.0,1.0,0.0,-2.5530000000000004,0.2727272727272727,0.18181818181818182,11,Class 1
5,28,immigrants,immigrants,28,,10,1.51,0.17897694729316946,0.9837293684278936,0.0,-2.5530000000000004,0.7272727272727273,0.8181818181818182,11,Class 1
5,29,from,from,29,,4,2039.06,3.309430005221756,0.699142726798022,0.0,-2.5530000000000004,0.8181818181818182,0.18181818181818182,11,Class 1
5,30,county,County,30,,6,33.76,1.5284024379536176,0.8610543238223985,0.0,-2.5530000000000004,0.45454545454545453,0.36363636363636365,11,Class 1
5,31,cork,"Cork,",31,,4,2.86,0.456366033129043,0.9585121788064508,0.0,-2.5530000000000004,0.18181818181818182,0.2727272727272727,11,Class 1
5,32,ireland,Ireland.,32,,7,0.43000000000000005,-0.3665315444204134,1.0333210494927647,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
6,0,in,In,0,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
6,1,the,the,1,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.09090909090909091,0.09090909090909091,11,Class 1
6,2,years,years,2,,5,568.6900000000002,2.7548755915667402,0.7495567644030235,0.0,-2.5530000000000004,0.2727272727272727,0.2727272727272727,11,Class 1
6,3,between,between,3,,7,175.13999999999996,2.2433853453716575,0.7960558776934857,0.0,-2.5530000000000004,0.2727272727272727,0.2727272727272727,11,Class 1
6,4,the,the,4,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.5454545454545454,0.09090909090909091,11,Class 1
6,5,wars,"wars,",5,,4,9.120000000000001,0.9599948383284164,0.9127277419701442,0.0,-2.5530000000000004,0.36363636363636365,0.18181818181818182,11,Class 1
6,6,henry,Henry,6,,5,76.54999999999998,1.8839451950342794,0.8287322549968837,0.0,-2.5530000000000004,0.45454545454545453,0.18181818181818182,11,Class 1
6,7,ford,Ford,7,,4,11.510000000000003,1.0610753236297918,0.9035386069427461,0.0,-2.5530000000000004,0.7272727272727273,0.18181818181818182,11,Class 1
6,8,supported,supported,8,,9,3.649999999999999,0.5622928644564746,0.9488824668675929,0.0,-2.5530000000000004,0.2727272727272727,0.18181818181818182,11,Class 1
6,9,adolf,Adolf,9,,5,1.3499999999999999,0.13033376849500614,0.9881514755913632,0.0,-2.5530000000000004,0.45454545454545453,0.0,11,Class 1
6,10,hitlers,Hitler's,10,,7,1.0,0.0,1.0,0.0,-2.5530000000000004,0.45454545454545453,0.36363636363636365,11,Class 1
6,11,nazi,Nazi,11,,4,6.86,0.8363241157067519,0.9239705349357498,0.0,-2.5530000000000004,0.09090909090909091,0.18181818181818182,11,Class 1
6,12,regime,regime.,12,,6,2.3099999999999996,0.3636119798921444,0.9669443654643503,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
7,0,there,There,0,,5,4348.120000000001,3.6383015212971164,0.6692453162457167,0.0,-2.5530000000000004,0.0,0.09090909090909091,11,Class 1
7,1,is,is,1,,2,9013.0,3.954869371066479,0.6404664208121382,0.0,-2.5530000000000004,0.36363636363636365,0.09090909090909091,11,Class 1
7,2,also,also,2,,4,206.43,2.314772812566055,0.7895661079485404,0.0,-2.5530000000000004,0.36363636363636365,0.18181818181818182,11,Class 1
7,3,some,some,3,,4,1727.2400000000002,3.237352686979094,0.7056952102746276,0.0,-2.5530000000000004,0.2727272727272727,0.0,11,Class 1
7,4,evidence,evidence,4,,8,85.0,1.9294189257142933,0.8245982794805188,0.0,-2.5530000000000004,0.09090909090909091,0.0,11,Class 1
7,5,that,that,5,,4,14111.31,4.14956733263194,0.622766606124369,0.0,-2.5530000000000004,0.2727272727272727,0.09090909090909091,11,Class 1
