section,metric,metric_label,source,source_label,condition,comparison,n,mean,sd,sem,test,df1,df2,statistic,p,effect_size,effect_size_name,value_unit,values_source
descriptive,skip_rate,Skip rate,text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),30s,,9,0.34986921530613846,0.21749535384390978,0.07249845128130326,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),60s,,9,0.3054103863373437,0.1814300236198347,0.0604766745399449,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),90s,,9,0.30388483332437644,0.18026017271023273,0.06008672423674424,,,,,,,,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,0.16342707226518224,0.8501655160202014,0.013435939665213711,eta_squared,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,30s_vs_60s,18,,,,welch_t_test,,15.501394695345198,0.47090685797996706,0.6442656710901997,0.22198762172325678,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,30s_vs_90s,18,,,,welch_t_test,,15.46719607793914,0.48835508878986067,0.6321494598508688,0.23021279660684602,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,60s_vs_90s,18,,,,welch_t_test,,15.999330515888625,0.017894705176536723,0.9859441133754225,0.008435644918442089,cohens_d,episode_stimulus,
descriptive,regression_rate,Regression rate,human,Human,30s,,28,0.3161848319035715,0.12070618058859926,0.022811323967563267,,,,,,,,participant,
descriptive,regression_rate,Regression rate,human,Human,60s,,28,0.4772694567178572,0.13994888609912706,0.02644785349134246,,,,,,,,participant,
descriptive,regression_rate,Regression rate,human,Human,90s,,28,0.5930452536428571,0.10577398726570536,0.01998940467748352,,,,,,,,participant,
inferential,regression_rate,Regression rate,human,Human,,30s_vs_60s_vs_90s,84,,,,one_way_anova,2,81,35.81648334847761,7.176046889399578e-12,0.46931516989497224,eta_squared,participant,
inferential,regression_rate,Regression rate,human,Human,,30s_vs_60s,56,,,,welch_t_test,,52.86009961855602,-4.612131524723717,2.567879851049284e-05,-1.2326439991611038,cohens_d,participant,
inferential,regression_rate,Regression rate,human,Human,,30s_vs_90s,56,,,,welch_t_test,,53.08493781891188,-9.128151177047679,1.8223267269855038e-12,-2.4396010199421205,cohens_d,participant,
inferential,regression_rate,Regression rate,human,Human,,60s_vs_90s,56,,,,welch_t_test,,50.257646775867705,-3.4922557414326016,0.0010079892301324755,-0.9333446065310715,cohens_d,participant,
descriptive,regression_rate,Regression rate,simulation,Simulation,30s,,9,0.32025870449214516,0.136309223475844,0.045436407825281334,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,simulation,Simulation,60s,,9,0.41284812695311895,0.026914754036564917,0.008971584678854972,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,simulation,Simulation,90s,,9,0.5660919973067965,0.029184471975103092,0.009728157325034363,,,,,,,,episode_stimulus,
inferential,regression_rate,Regression rate,simulation,Simulation,,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,20.648946217273544,6.077779372410619e-06,0.6324536810425092,eta_squared,episode_stimulus,
inferential,regression_rate,Regression rate,simulation,Simulation,,30s_vs_60s,18,,,,welch_t_test,,8.622860332809639,-1.9991810745654557,0.07804034434177815,-0.9424229964300285,cohens_d,episode_stimulus,
inferential,regression_rate,Regression rate,simulation,Simulation,,30s_vs_90s,18,,,,welch_t_test,,8.731916455824242,-5.290587446929507,0.0005526147141824338,-2.4940068401228523,cohens_d,episode_stimulus,
inferential,regression_rate,Regression rate,simulation,Simulation,,60s_vs_90s,18,,,,welch_t_test,,15.896255706817787,-11.579967246687296,3.70115728210002e-09,-5.458848910700468,cohens_d,episode_stimulus,
descriptive,regression_rate,Regression rate,full_memory,Sim with unlimited memory,30s,,9,0.04903828900771367,0.062399637635655494,0.020799879211885166,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,full_memory,Sim with unlimited memory,60s,,9,0.08308091090645425,0.04000537690852805,0.013335125636176016,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,full_memory,Sim with unlimited memory,90s,,9,0.08280550319418671,0.040531430388946695,0.013510476796315564,,,,,,,,episode_stimulus,
inferential,regression_rate,Regression rate,full_memory,Sim with unlimited memory,,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,1.4496970087591101,0.25446317592286083,0.10778659235334415,eta_squared,episode_stimulus,
inferential,regression_rate,Regression rate,full_memory,Sim with unlimited memory,,30s_vs_60s,18,,,,welch_t_test,,13.625984404403498,-1.3778254394898444,0.19046542586443804,-0.6495131410364028,cohens_d,episode_stimulus,
inferential,regression_rate,Regression rate,full_memory,Sim with unlimited memory,,30s_vs_90s,18,,,,welch_t_test,,13.730486307775811,-1.361439601448385,0.1952986519767813,-0.641788782906709,cohens_d,episode_stimulus,
inferential,regression_rate,Regression rate,full_memory,Sim with unlimited memory,,60s_vs_90s,18,,,,welch_t_test,,15.997270143669445,0.014508037747906957,0.9886040655779966,0.006839154582170277,cohens_d,episode_stimulus,
descriptive,regression_rate,Regression rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),30s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),60s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),90s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
inferential,regression_rate,Regression rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,nan,nan,nan,eta_squared,episode_stimulus,
inferential,regression_rate,Regression rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_60s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,regression_rate,Regression rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,regression_rate,Regression rate,sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,60s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
descriptive,regression_rate,Regression rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),30s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),60s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,regression_rate,Regression rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),90s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
inferential,regression_rate,Regression rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,nan,nan,nan,eta_squared,episode_stimulus,
inferential,regression_rate,Regression rate,sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_60s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
